Gene_ID,Shortened_Name
SmelGIF_SMEL4.1_03g019210.1.01_cds,SmelGIF_SMEL4.1_03g019210.1.01_cds
SmelGIF_SMEL4.1_04g000820.1.01_cds,SmelGIF_SMEL4.1_04g000820.1.01_cds
SmelGIF_SMEL4.1_11g004650.1.01_cds,SmelGIF_SMEL4.1_11g004650.1.01_cds
SmelGIF_SMEL4.1_11g026070.1.01_cds,SmelGIF_SMEL4.1_11g026070.1.01_cds
SmelGIF_SMEL4.1_11g026790.1.01_cds,SmelGIF_SMEL4.1_11g026790.1.01_cds
KNOLLE_SMEL4.1_06g013870.1.01,KNOLLE_SMEL4.1_06g013870.1.01
CYCD1-1_SMEL4.1_03g012840.1.01,CYCD1-1_SMEL4.1_03g012840.1.01
