SRR_ID,Organ,Notes
SRR20722387,Mature_fruits,
SRR3884597,Flower,
SRR20722297,Flower_buds,
SRR20722385,Sepals,not included
SRR20722296,Leaf_buds,
SRR20722386,Mature_leaves,not included
SRR20722383,Young_leaves,not included
SRR20722384,Stems,
SRR31755282,Roots,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP552204
