Gene
Smel_CYCD1-1
Smel_CDT1A_01
Smel_CDT1A_03
Smel_CYCB1-2
Smel_APRT
Smel_RuBP
Smel_ACT58
Smel_KNOLLE
Smel_GAPDH
Smel_UBC10
Smel_UBC17
Smel_UBC28
Smel_ACT7
Smel_TUBB2
Smel_TUBB1_03
Smel_TUBB1_06
Smel_EF1-alpha
